"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1011","Smoke: Standard user login and verifies inventory page & the products visibility","","Thu Apr 24 22:09:53 CEST 2025","passed","Thu Apr 24 22:09:54 CEST 2025","","src/tests/smoke/inventory.spec.ts","",""
"","805","Should login successfully with username: ""error_user""","","Thu Apr 24 22:09:54 CEST 2025","passed","Thu Apr 24 22:09:55 CEST 2025","","src/tests/data-driven-test/login.spec.ts","",""
"","2748","Should login successfully with username: ""standard_user""","","Thu Apr 24 22:09:41 CEST 2025","passed","Thu Apr 24 22:09:44 CEST 2025","","src/tests/data-driven-test/login.spec.ts","",""
"","786","The standard_user should be able to log in","","Thu Apr 24 22:09:54 CEST 2025","passed","Thu Apr 24 22:09:55 CEST 2025","Smoke: Login flow","src/tests/smoke/login.spec.ts","",""
"","1770","Smoke: Verifies that the ""Logout"" option in the menu is functional","","Thu Apr 24 22:09:56 CEST 2025","passed","Thu Apr 24 22:09:58 CEST 2025","Smoke: Menu item tests","src/tests/smoke/menu.spec.ts","",""
"","1109","Should add ""Sauce Labs Fleece Jacket"" to cart successfully","","Thu Apr 24 22:09:47 CEST 2025","passed","Thu Apr 24 22:09:48 CEST 2025","Add-to-Cart tests using product data","src/tests/data-driven-test/addToCart.spec.ts","",""
"","1851","Smoke: Verifies that the ""All items"" option in the menu is functional","","Thu Apr 24 22:09:54 CEST 2025","passed","Thu Apr 24 22:09:56 CEST 2025","Smoke: Menu item tests","src/tests/smoke/menu.spec.ts","",""
"","701","The locked_out_user should not be able to log in","","Thu Apr 24 22:09:55 CEST 2025","passed","Thu Apr 24 22:09:55 CEST 2025","Smoke: Login flow","src/tests/smoke/login.spec.ts","",""
"","817","Smoke: Standard user login and basic cart functionality","","Thu Apr 24 22:09:52 CEST 2025","passed","Thu Apr 24 22:09:52 CEST 2025","","src/tests/smoke/cart.spec.ts","",""
"","910","Should login successfully with username: ""problem_user""","","Thu Apr 24 22:09:47 CEST 2025","passed","Thu Apr 24 22:09:48 CEST 2025","","src/tests/data-driven-test/login.spec.ts","",""
"","813","Should login successfully with username: ""visual_user""","","Thu Apr 24 22:09:55 CEST 2025","passed","Thu Apr 24 22:09:56 CEST 2025","","src/tests/data-driven-test/login.spec.ts","",""
"","3119","Should fill checkout info for ""Jurrien Timber 55555"" successfully","","Thu Apr 24 22:09:41 CEST 2025","passed","Thu Apr 24 22:09:45 CEST 2025","Add-to-Cart and Checkout Step One setup using product data","src/tests/data-driven-test/checkoutInfo.spec.ts","",""
"","1525","Visual: Checkout completion screen renders correctly","","Thu Apr 24 22:09:55 CEST 2025","passed","Thu Apr 24 22:09:57 CEST 2025","","src/tests/visual/checkoutCompletePage-visual.spec.ts","",""
"","3079","Should add ""Sauce Labs Backpack"" to cart successfully","","Thu Apr 24 22:09:41 CEST 2025","passed","Thu Apr 24 22:09:44 CEST 2025","Add-to-Cart tests using product data","src/tests/data-driven-test/addToCart.spec.ts","",""
"","842","Visual: Homepage should match design snapshot","","Thu Apr 24 22:09:56 CEST 2025","passed","Thu Apr 24 22:09:57 CEST 2025","","src/tests/visual/homepage-visual.spec.ts","",""
"","5955","Should login successfully with username: ""performance_glitch_user""","","Thu Apr 24 22:09:48 CEST 2025","passed","Thu Apr 24 22:09:54 CEST 2025","","src/tests/data-driven-test/login.spec.ts","",""
"","871","Should add ""Sauce Labs Onesie"" to cart successfully","","Thu Apr 24 22:09:50 CEST 2025","passed","Thu Apr 24 22:09:51 CEST 2025","Add-to-Cart tests using product data","src/tests/data-driven-test/addToCart.spec.ts","",""
"","1023","Visual: Inventory page renders correctly after login and product sort","","Thu Apr 24 22:09:57 CEST 2025","passed","Thu Apr 24 22:09:58 CEST 2025","","src/tests/visual/inventorypage-visual.spec.ts","",""
"","799","Should login successfully with username: ""locked_out_user""","","Thu Apr 24 22:09:46 CEST 2025","passed","Thu Apr 24 22:09:47 CEST 2025","","src/tests/data-driven-test/login.spec.ts","",""
"","2142","Axe - Analysis and reporting with tags","","Thu Apr 24 22:09:46 CEST 2025","passed","Thu Apr 24 22:09:49 CEST 2025","Accessibility","src/tests/accessibility/axe/homepage-accessibility.spec.ts","",""
"","762","Should add ""Sauce Labs Bike Light"" to cart successfully","","Thu Apr 24 22:09:51 CEST 2025","passed","Thu Apr 24 22:09:51 CEST 2025","Add-to-Cart tests using product data","src/tests/data-driven-test/addToCart.spec.ts","",""
"","2862","Accessibility keyboard navigation","","Thu Apr 24 22:09:41 CEST 2025","passed","Thu Apr 24 22:09:44 CEST 2025","Accessibility","src/tests/accessibility/axe/homepage-accessibility.spec.ts","",""
"","800","Should fill checkout info for ""Gabriel Martinelli 44444"" successfully","","Thu Apr 24 22:09:50 CEST 2025","passed","Thu Apr 24 22:09:51 CEST 2025","Add-to-Cart and Checkout Step One setup using product data","src/tests/data-driven-test/checkoutInfo.spec.ts","",""
"","1105","Should fill checkout info for ""Myles Lewis-Skelly 44444"" successfully","","Thu Apr 24 22:09:48 CEST 2025","passed","Thu Apr 24 22:09:49 CEST 2025","Add-to-Cart and Checkout Step One setup using product data","src/tests/data-driven-test/checkoutInfo.spec.ts","",""
"","1773","Axe - Analysis and reporting without tags","","Thu Apr 24 22:09:49 CEST 2025","failed","Thu Apr 24 22:09:50 CEST 2025","Accessibility","src/tests/accessibility/axe/homepage-accessibility.spec.ts","",""
"","812","Should add ""Test.allTheThings() T-Shirt (Red)"" to cart successfully","","Thu Apr 24 22:09:49 CEST 2025","passed","Thu Apr 24 22:09:50 CEST 2025","Add-to-Cart tests using product data","src/tests/data-driven-test/addToCart.spec.ts","",""
